Airfare,GroupTravel,NoTransport,PleasureTrip,Destination2,Destination3,Destination4,DepartureTime2,DepartureTime3,DepartureTime4,Income2,Income3,Income4,Income5,Income6,Income7,Income8,airline
62,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
44.57,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,3
150,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
27.12,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2
41,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
120,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
35,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
50,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2
53.17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
53.17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
26.43,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
71.33,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,4
134.57,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
29.12,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2
29.12,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2
40.4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4
60.79,0,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
29.12,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2
65,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
56,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4
49.83,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
40,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3
60.79,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
222,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
57,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2
14,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2
64,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
30,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3
29.12,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2
50,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3
30,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,4
30,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4
50,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
89,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
49.83,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
29.12,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2
29.12,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2
50,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,4
60,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
60,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
50,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,4
44.57,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3
70,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2
50,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3
50,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
