"","ID","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","GroupTravel","NoTripsLastYear","FrequentFlightDestination1","FrequentFlightDestination2","FrequentFlightDestination3","FrequentFlightDestination4","FrequentFlightDestination5","FrequentFlightDestination6","FrequentFlightDestination7","Destination","TotalDepartureHr","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessCost","AccessTime","Occupation","MileageAirline","FrequentDestination1","FrequentDestination2","FrequentDestination3","FrequentDestination4","FrequentDestination5","FrequentDestination6","FrequentDestination7","MileageAirline1","MileageAirline2","MileageAirline3","MileageAirline4","MileageAirline5","Income"
"99",104,1,1,60,2,1,1,5,2,3,2,1,1,0,0,0,0,0,0,3,20.33,3,1,60.79,1,6,12642,76,11,4,1,0,0,0,0,0,0,0,0,0,1,0,1
"100",105,1,1,62,1,1,1,5,2,3,2,1,1,0,0,0,0,0,0,3,20.33,3,1,60.79,1,6,12642,120,11,4,1,0,0,0,0,0,0,0,0,0,1,0,1
"101",106,1,4,64,2,1,1,5,26,3,1,2,1,0,0,0,0,0,0,3,20,3,1,3,2,2,2500,76,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"102",107,1,3,27,2,1,1,5,4,1,2,4,1,0,0,0,0,0,0,3,17.33,2,1,60,1,6,15000,60,12,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"103",108,1,3,25,2,1,1,5,4,1,2,0,0,1,0,0,0,0,0,3,17.33,2,1,53,1,6,13000,60,3,5,0,1,0,0,0,0,0,0,0,0,0,1,2
"104",109,1,3,24,2,1,1,5,1,3,2,2,1,0,0,0,0,0,0,3,17.5,2,1,50,1,6,12000,100,2,5,1,0,0,0,0,0,0,0,0,0,0,1,4
"105",110,1,3,28,1,1,1,6,2,1,2,2,0,0,0,0,1,0,0,3,17.5,2,1,23,1,6,14000,60,2,5,0,0,0,0,1,0,0,0,0,0,0,1,7
"106",111,1,3,29,1,1,1,3,3,2,2,1,1,0,0,0,0,0,0,3,19.58,3,1,30,1,5,3175,39,2,4,1,0,0,0,0,0,0,0,0,0,1,0,2
"107",112,1,2,25,2,1,1,3,12,1,1,0,0,0,0,0,0,0,1,3,20.33,3,1,29.12,1,6,15000,160,5,5,0,0,0,0,0,0,1,0,0,0,0,1,2
"108",113,1,1,39,1,1,2,9,1,3,2,1,0,1,0,0,0,0,0,4,11.5,3,1,100,2,8,3000,60,12,5,0,1,0,0,0,0,0,0,0,0,0,1,8
"109",114,1,4,30,1,1,2,2,1,6,2,3,1,0,0,0,0,0,0,3,15.25,2,1,60,3,2,1200,290,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
"110",115,1,3,36,1,1,1,3,3,2,2,3,0,0,1,0,0,0,0,3,19.58,3,1,30,2,3,1100,39,12,5,0,0,1,0,0,0,0,0,0,0,0,1,8
"111",116,1,1,31,1,1,1,5,1,1,2,0,1,0,0,1,0,0,0,3,19,3,1,62,1,6,10000,60,2,1,1,0,0,1,0,0,0,1,0,0,0,0,4
"112",117,1,3,30,1,1,1,4,3,1,2,2,0,0,1,0,0,0,0,3,19.58,3,2,44.57,2,8,6595,90,2,1,0,0,1,0,0,0,0,1,0,0,0,0,5
"113",118,1,1,36,1,1,2,150,0,5,2,3,0,0,0,1,0,0,0,4,21.58,4,1,150,2,2,4600,10,12,5,0,0,0,1,0,0,0,0,0,0,0,1,8
