ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
413,2,3,31,1,1,1,3,4,1,2,3,6,3,TW7667,11,,1,1,39,1,5,1550,60,2,3,1,15000
414,2,3,33,2,1,1,3,4,1,2,2,6,3,TW7667,11,,1,1,40,1,5,1550,60,2,3,2,5000
415,2,3,33,1,1,1,3,4,8,2,2,2,3,TW7667,11,,1,1,39,1,3,1100,50,2,2,4,
416,2,3,39,2,1,1,3,7,2,1,0,5,3,TW7667,11,,1,1,,2,1,,20,5,1,4,
417,2,4,30,2,3,1,3,2,3,2,0,3,2,NH1162,12,40,2,1,40,1,1,,30,2,2,,
418,2,4,38,1,1,2,3,1,1,2,3,3,2,JL974,15,,2,1,,1,5,,,2,2,,
419,2,2,35,2,1,1,4,6,4,1,1,6,1,OZ3615,15,30,2,1,,2,2,10000,20,12,2,,
420,2,4,37,2,3,4,99,0,8,2,2,3,2,974,15,,2,1,42,1,1,,40,9,3,4,
421,2,4,30,2,1,4,14,0,1,2,3,1,2,7C1482,14,30,2,2,42,1,1,,70,2,3,1,10000
422,2,4,32,2,2,2,5,1,1,2,8,2,1,CA5040,8,40,1,2,,1,6,4000,20,1,6,1,23462
423,2,2,35,1,1,4,6,0,4,1,1,1,1,OZ3615,15,30,2,1,,2,2,10000,20,12,2,,
424,2,1,35,2,1,1,4,1,1,2,2,3,2,KE5727,15,,2,1,30,1,1,,30,4,4,4,
425,2,1,34,1,3,2,3,2,1,2,3,1,2,KE5727,16,55,2,1,,1,2,15000,30,5,4,,
426,2,1,39,1,3,2,3,2,1,2,6,"3,4",2,KE5727,16,55,2,1,,1,1,,60,5,5,1,
427,2,4,50,1,2,1,4,3,8,2,7,3,1,,19,,3,1,20,1,6,7000,50,1,6,1,
428,2,4,23,2,2,1,4,3,8,2,2,3,1,,19,,3,1,20,1,6,7000,50,8,6,1,
429,2,2,40,1,1,2,7,2,3,2,10,3,2,OZ1045,15,30,2,1,,1,1,,60,2,2,2,39000
430,2,2,42,1,1,2,7,2,3,2,10,3,2,OZ1045,15,30,2,2,,1,1,,60,2,2,2,39782
431,2,1,56,2,1,1,3,14,1,1,1,2,1,KE2815,16,15,2,1,44,1,1,,30,6,3,,
432,2,1,29,1,1,1,4,14,1,1,0,7,1,KE2815,16,,2,1,,2,2,4500,15,2,3,,
433,2,1,64,2,1,1,4,14,1,1,1,5,1,KE2815,16,15,2,1,44,1,5,1300,40,7,4,1,
434,2,1,67,2,1,1,4,14,1,1,2,3,1,KE2815,16,15,2,1,45,1,1,,30,9,3,,
435,2,1,59,2,1,1,4,14,1,1,1,5,1,KE2815,16,15,2,1,44,2,1,,5,9,2,"1,2",
436,2,1,28,1,1,1,4,20,8,1,1,6,1,KE2815,16,15,2,3,37,1,3,7000,40,6,2,4,
437,2,4,22,2,1,1,8,0,3,2,0,1,3,BR0155,13,20,2,1,30,1,1,,40,8,6,4,
438,2,1,25,2,1,3,99,0,3,2,1,2,1,KE2815,16,15,2,1,37,1,1,,90,8,3,1,
439,2,1,21,1,2,4,99,2,8,2,4,3,1,KE2815,16,30,2,1,52,1,2,20000,40,8,,,
440,2,1,22,2,1,4,8,4,1,2,3,1,1,KE5801,12,30,2,1,30,1,5,3000,10,8,6,4,
441,2,4,27,1,1,1,3,2,3,2,0,2,2,NH1162,12,40,2,1,40,1,1,,30,6,2,4,
442,2,3,26,2,1,2,6,3,6,2,2,1,3,TW7667,11,,1,1,50,1,6,23000,180,12,2,,
443,2,1,26,2,3,3,7,0,1,2,0,3,2,KE2707,9,,1,1,60,1,3,1150,40,8,5,1,5320
444,2,1,21,2,1,1,4,20,5,1,1,3,2,,16,30,2,1,60,1,5,2000,50,8,3,1,
445,2,1,21,2,1,1,5,0,5,2,0,2,1,KE5801,12,30,2,1,,1,3,1150,,8,4,3,
446,2,4,24,2,1,1,10,0,3,2,0,2,1,,9,25,1,1,,1,6,6000,60,8,3,,
447,2,1,28,2,2,2,4,1,1,2,6,2,1,KE2815,16,15,2,2,50,2,3,1200,20,1,4,,
448,2,1,28,1,1,3,180,0,1,2,0,2,1,KE2815,16,15,2,1,,1,5,,,8,3,4,
449,2,1,28,2,2,4,365,2,8,2,2,2,1,KE2815,16,30,2,1,52,1,2,20000,40,3,2,4,
450,2,4,28,1,1,2,7,2,3,2,2,3,2,JL91,12,,2,,,1,3,1000,20,2,2,2,5000
451,2,1,28,1,2,1,4,5,3,1,1,5,1,KE2815,9,30,2,1,35,1,2,10000,20,12,6,1,15023
452,2,1,25,1,1,1,5,2,3,2,0,2,2,KE2727,16,55,2,1,35,1,6,6000,30,8,1,4,
453,2,3,25,2,1,1,3,3,1,2,0,6,3,TW7667,11,,1,1,40,1,5,1350,60,2,5,4,
454,2,4,29,2,2,1,3,3,8,2,0,2,1,MU,19,45,3,1,,2,8,,180,2,1,,
455,2,4,29,2,2,2,3,3,8,2,0,2,1,MU,19,45,3,1,,2,8,,180,2,1,4,
456,2,1,37,1,2,1,3,1,8,2,1,2,2,KE2727,16,55,2,1,42,1,5,,60,8,1,4,
457,2,4,35,2,2,1,4,2,8,2,0,2,1,,19,45,3,1,,2,2,,10,2,3,4,
458,2,4,38,1,1,1,5,1,1,2,0,3,2,JL974,15,,2,1,40,1,5,,30,2,2,,
459,2,4,35,1,3,2,2,1,8,2,0,3,2,,19,,3,1,40,1,2,,120,2,2,4,
460,2,4,42,1,3,2,1,1,8,2,0,3,2,NH6984,20,,3,1,40,1,2,,50,2,3,4,
461,2,4,40,1,3,2,7,1,8,2,1,3,2,JL94,19,15,3,1,50,1,2,,50,2,,4,
462,2,2,47,1,3,2,3,1,8,2,0,3,2,OZ1085,20,,3,1,,1,2,,40,2,7,3(ANA),
463,2,2,40,1,3,1,2,1,8,2,0,3,2,OZ1085,20,,3,1,,1,6,,60,2,3,4,
464,2,2,40,2,3,1,3,1,8,2,3,4,2,OZ1085,20,1,3,1,,1,5,,40,2,,4,
465,2,1,47,1,3,1,5,1,8,2,0,3,2,KE2727,16,55,2,1,,2,8,,180,11,1,4,
