ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination1,FrequentFlightDestination2,FrequentFlightDestination3,FrequentFlightDestination4,FrequentFlightDestination5,FrequentFlightDestination6,FrequentFlightDestination7,Destination,TotalDepartureHr,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,MileageAirline,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5,Income
75,1,1,34,1,2,2,30,1,5,2,12,0,1,0,0,0,0,0,1,19.75,3,1,49.83,3,4,27920,311,2,5,0,1,0,0,0,0,0,0,0,0,0,1,2
76,1,2,40,1,1,2,15,1,4,2,3,0,1,0,0,0,0,0,1,14,2,1,48.34,3,2,11000,10,12,5,0,1,0,0,0,0,0,0,0,0,0,1,8
77,1,3,22,2,4,3,7,1,6,2,2,1,0,0,0,0,0,0,3,7.58,3,1,24,3,8,1200,290,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
78,1,3,33,1,1,1,6,1,3,2,1,0,0,0,1,0,0,0,3,16,2,1,40,2,5,1050,60,12,5,0,0,0,1,0,0,0,0,0,0,0,1,8
79,1,3,29,2,1,1,5,0,3,2,1,1,0,0,0,0,0,0,3,16,2,1,40,1,5,1050,60,2,5,1,0,0,0,0,0,0,0,0,0,0,1,8
80,1,2,43,1,1,1,4,3,1,1,1,1,0,0,0,0,0,0,3,17.36,2,1,29.12,2,3,6595,56,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
81,1,4,41,1,1,4,8,10,5,2,5,0,0,0,0,0,1,0,1,13.67,2,2,120,3,1,27920,10,12,5,0,0,0,0,0,1,0,0,0,0,0,1,8
84,1,1,30,1,1,1,5,1,5,2,10,0,1,0,0,0,0,0,3,14.33,2,1,65,3,1,1800,30,12,5,0,1,0,0,0,0,0,0,0,0,0,1,8
85,1,2,50,2,1,1,99,1,8,2,0,1,0,0,0,0,0,0,2,14,2,1,23,1,1,8400,180,9,5,1,0,0,0,0,0,0,0,0,0,0,1,5
86,1,2,31,1,1,2,30,0,1,2,5,0,1,0,0,0,0,0,1,12.67,2,1,54,1,2,3000,15,3,5,0,1,0,0,0,0,0,0,0,0,0,1,3
87,1,1,34,1,1,2,99,0,1,2,6,0,1,0,1,0,0,0,1,13.08,2,1,20,1,1,6595,56,1,4,0,1,0,1,0,0,0,0,0,0,1,0,7
88,1,4,47,1,1,1,5,3,1,1,2,1,0,0,0,0,0,0,3,13.58,2,1,40.4,2,2,13300,45,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
90,1,1,40,1,1,1,5,10,3,2,0,0,0,0,0,0,1,0,3,17.36,2,3,60.79,1,7,4300,53,2,2,0,0,0,0,0,1,0,0,1,0,0,0,2
91,1,3,30,2,1,1,7,3,1,2,3,1,0,0,0,0,0,0,3,20.08,3,1,60,1,3,3000,15,2,4,1,0,0,0,0,0,0,0,0,0,1,0,3
92,1,2,32,1,1,1,5,2,4,2,1,1,0,0,0,0,0,0,3,16,2,2,75,2,8,10600,155,12,5,1,0,0,0,0,0,0,0,0,0,0,1,8
