AccessTime,Destination2,Destination3,Destination4,DepartureTime3,Income2,Income3,Income4,Income5,Income6,Income7,Income8,Airline3,Airline2,Airline4,airport
40,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
180,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
30,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
60,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
80,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
60,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
