,ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
104,105,1,1,62.0,1.0,1,1,5,2,3,2,1,1,3,KE659,20,20,3,1.0,50.0,1,6,8000.0,120.0,11,1.0
105,106,1,4,64.0,2.0,1,1,5,26,3,1,2,1,3,7C2201,20,0,3,1.0,3.0,2,2,2500.0,10.0,12,3.0
106,107,1,3,27.0,2.0,1,1,5,4,1,2,4,1,3,LJ001,17,20,2,1.0,60.0,1,6,15000.0,60.0,12,2.0
107,108,1,3,25.0,2.0,1,1,5,4,1,2,0,2,3,LJ001,17,20,2,1.0,53.0,1,6,13000.0,60.0,3,3.0
108,109,1,3,24.0,2.0,1,1,5,1,3,2,2,1,3,ZE511,17,30,2,1.0,50.0,1,6,12000.0,100.0,2,4.0
109,110,1,3,28.0,1.0,1,1,6,2,1,2,2,5,3,ZE511,17,30,2,1.0,23.0,1,6,14000.0,60.0,2,7.0
110,111,1,3,29.0,1.0,1,1,3,3,2,2,1,1,3,7C2301,19,35,3,1.0,30.0,1,5,1300.0,40.0,2,2.0
111,112,1,2,25.0,2.0,1,1,3,12,1,1,0,7,3,OZ757,20,20,3,1.0,49.5,1,6,15000.0,160.0,5,4.0
112,113,1,1,39.0,1.0,1,2,9,1,3,2,1,2,4,KE655,11,30,3,1.0,100.0,2,8,3000.0,60.0,12,3.0
113,114,1,4,30.0,1.0,1,2,2,1,6,2,3,1,3,CX411,15,15,2,1.0,60.0,3,2,1200.0,202.5,12,2.0
114,115,1,3,36.0,1.0,1,1,3,3,2,2,3,3,3,7C2301,19,35,3,1.0,30.0,2,3,1100.0,45.0,12,1.0
115,116,1,1,31.0,1.0,1,1,5,1,1,2,0,"1,4",3,KE687,19,0,3,1.0,62.0,1,6,10000.0,60.0,2,4.0
116,117,1,3,30.0,1.0,1,1,4,3,1,2,2,3,3,7C2301,19,35,3,2.0,31.0,2,8,3150.75,90.0,2,5.0
117,118,1,1,36.0,1.0,1,2,150,0,5,2,3,4,4,KE061,21,35,4,1.0,150.0,2,2,4600.0,10.0,12,2.0
118,119,1,2,31.0,2.0,1,1,15,2,8,2,0,3,2,OZ178,21,0,4,1.0,41.0,1,1,5350.0,34.0,2,3.0
119,120,1,2,37.0,2.0,1,1,5,4,3,1,2,3,1,OZ0323,20,0,3,1.0,41.0,1,6,12000.0,90.0,3,2.0
120,121,1,1,43.0,1.0,1,2,9,2,3,2,1,"2,3",4,KE655,19,30,3,1.0,120.0,1,6,8000.0,50.0,2,3.0
121,122,1,3,45.0,1.0,1,1,5,1,4,2,1,"1,2",3,7C2301,19,35,3,1.0,35.0,2,8,14000.0,50.0,12,2.0
122,123,1,1,42.0,2.0,1,1,5,3,1,1,0,1,3,KE651,5,40,2,1.0,50.0,2,2,2400.0,10.0,12,2.0
123,124,1,2,44.0,1.0,1,4,10,0,1,2,2,1,3,OZ703,19,50,3,1.0,55.0,1,6,9000.0,40.0,2,3.0
124,125,1,4,55.0,1.0,1,2,5,1,8,2,2,2,1,CX419,20,5,3,1.0,108.0,1,6,11500.0,70.0,2,3.0
125,126,1,4,52.0,1.0,1,2,5,1,2,2,3,2,1,CX419,20,5,3,1.0,108.0,1,5,1300.0,40.0,2,4.0
126,127,1,1,50.0,1.0,1,1,365,2,8,1,0,2,2,KE719,20,55,3,1.0,40.0,1,9,5350.0,40.0,2,3.0
127,128,1,4,69.0,2.0,1,1,12,2,1,2,2,1,4,NotRespond,22,0,4,2.0,58.0,1,1,3001.5,60.0,9,7.0
128,129,1,1,30.0,1.0,1,1,6,2,1,1,4,5,4,KE629,18,0,3,1.0,82.0,1,2,11000.0,30.0,2,3.0
129,130,1,2,30.0,2.0,1,1,6,2,1,2,0,7,3,OZ709,20,20,3,1.0,40.0,1,3,2150.0,27.5,2,3.0
130,131,1,2,32.0,1.0,1,1,6,2,1,2,1,7,3,OZ709,20,20,3,1.0,40.0,1,3,2150.0,27.5,2,3.0
131,132,1,4,47.0,2.0,1,1,4,2,8,1,0,1,3,7C2203,20,40,3,3.0,40.0,1,5,2700.0,40.0,9,4.0
132,133,1,1,47.0,2.0,1,1,6,2,8,2,0,7,3,KE623,20,5,3,1.0,49.0,3,5,2700.0,40.0,2,4.0
133,134,1,2,47.0,2.0,1,1,4,4,1,1,1,1,3,OZ3195,20,30,3,1.0,45.0,1,5,2000.0,50.0,9,3.0
134,135,1,3,37.0,1.0,4,4,99,0,8,2,1,1,3,CJ003,21,40,4,1.0,65.0,2,1,5350.0,34.0,12,2.0
135,136,1,4,24.0,2.0,1,1,5,2,1,2,2,"1,4,5",3,OZ3195,8,30,1,1.0,56.0,2,2,3300.0,10.0,12,2.0
136,137,1,1,33.0,1.0,2,2,10,2,1,2,4,"1,2,3",1,NotRespond,7,45,3,2.0,58.0,1,1,10000.0,60.0,1,2.0
137,138,1,1,30.0,1.0,1,2,7,1,3,1,9,6,3,KE631,20,35,3,1.0,53.0,1,9,350000.0,80.0,12,3.0
138,139,1,3,30.0,1.0,1,1,6,1,3,2,1,3,3,7C2203,20,40,3,1.0,40.0,1,6,10000.0,60.0,2,3.0
139,140,1,1,50.0,2.0,1,1,7,2,3,2,2,1,3,NotRespond,9,45,1,1.0,40.0,1,1,30000.0,90.0,3,2.0
140,141,1,1,35.0,1.0,1,2,6,2,1,2,0,1,4,KE6221,14,5,2,1.0,222.0,2,1,7000.0,15.0,12,2.0
141,142,1,2,43.0,1.0,1,4,6,7,5,2,2,1,3,NotRespond,7,5,3,1.0,57.0,4,2,10000.0,20.0,12,2.0
142,143,1,2,27.0,2.0,5,1,5,8,8,2,5,6,4,OZ601,8,10,3,1.0,14.0,1,5,2700.0,120.0,3,2.0
143,144,1,3,32.0,1.0,1,1,5,1,5,2,1,5,3,7C2203,20,40,3,1.0,64.0,1,8,8000.0,40.0,4,1.0
144,145,1,3,33.0,1.0,1,1,7,1,2,2,2,1,3,7C2301,19,35,3,1.0,30.0,1,8,8000.0,45.0,2,3.0
