ID,Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage,FrequentDestination1,FrequentDestination2,FrequentDestination3,FrequentDestination4,FrequentDestination5,FrequentDestination6,FrequentDestination7,MileageAirline1,MileageAirline2,MileageAirline3,MileageAirline4,MileageAirline5
39,1,1,36,1,1,1,16,2,1,1,3,1,4,NA,NA,NA,2,1,100,1,3,1300,40,1,4,1,9e4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
40,1,2,22,1,1,1,40,0,1,2,2,"1,5,6",4,NA,NA,NA,4,1,100,1,6,1e4,120,8,4,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
41,1,4,22,2,1,1,30,2,1,2,0,5,4,CX419,20,0,3,1,108,2,3,1050,8,12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
42,1,1,44,1,1,2,3,2,1,2,4,1,3,KE5643,18,40,3,1,59,1,1,0,15,5,5,1,1e5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
43,1,1,31,2,1,4,4,0,3,2,100,"1,2,3,4,5",3,KE691,10,35,1,2,40,2,2,8e3,10,12,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
44,1,1,57,1,4,2,140,1,5,2,10,1,3,KE641,18,40,3,1,NA,2,10,NA,60,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
45,1,3,28,1,1,1,5,4,3,2,4,6,3,7C2301,19,35,3,1,30,1,6,12e3,75,2,2,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
46,1,1,32,2,1,1,10,2,3,2,2,1,1,KE833,14,50,2,1,48,2,2,5e3,10,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
47,1,1,29,2,1,1,5,2,3,2,2,3,2,KE5703,13,35,2,1,54,1,6,8e3,50,3,2,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
48,1,1,35,2,1,2,3,5,3,2,20,1,3,KE653,18,40,3,1,60,1,6,6e3,40,12,3,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
49,1,2,45,1,2,2,15,1,8,2,7,1,1,OZ359,12,40,2,1,52,1,6,8e3,40,1,3,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
50,1,3,28,1,1,1,7,9,3,1,2,1,3,NA,8,30,3,1,45,1,6,11e3,90,2,4,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
51,1,3,53,2,1,1,7,9,3,2,0,1,3,NA,20,30,3,1,45,2,2,1050,20,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
52,1,3,57,1,1,1,7,9,1,2,3,"1,2",3,NA,20,30,3,1,50,2,3,NA,NA,12,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
53,1,3,43,2,4,1,4,4,1,2,2,1,3,7C2301,19,35,3,1,NA,1,5,3700,100,5,2,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
54,1,3,21,2,1,1,4,4,1,2,0,1,3,7C2301,19,35,3,1,NA,1,5,NA,NA,8,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
55,1,2,67,2,1,1,7,2,1,1,3,1,1,OZ3195,8,30,3,2,NA,1,4,1e4,65,7,4,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
56,1,2,66,1,1,1,6,8,2,1,1,1,1,NA,20,0,3,1,78,1,1,NA,NA,7,2,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
57,1,3,29,1,1,1,6,1,3,2,3,3,2,NA,15,30,2,1,17,2,4,2e3,60,12,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
58,1,1,30,2,1,1,5,2,5,2,122,1,3,KE643,14,20,2,1,64,2,8,48e3,90,12,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
59,1,2,44,2,2,1,99,1,8,2,4,2,1,OZ349,12,30,2,1,31,1,1,NA,34,9,4,4,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
